,playlist_id,playlist_title,playlist_owner_id,playlist_length,playlist_views,video_id,video_title,video_views,video_length,video_desciption,video_keywords,video_rating
7,PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020",UCEBb1b_L6zDS3xTUrIALZOw,9.0,9823.0,zrB6pocJSI8,"Pulmonary Health Case Study: Bias Exploration, Exploring Fairness in Machine Learning",1995.0,330.0,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020
Instructor: Amit Gandhi
View the complete course: https://ocw.mit.edu/RES-EC-001S20
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX

This video presents a case study on pulmonary health diagnostics and explores the influence of representative data on accuracy.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.","['pulmonary disease', 'health diagnostics', 'representative data', 'accuracy', 'ethics', 'machine learning']",
8,PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020",UCEBb1b_L6zDS3xTUrIALZOw,9.0,9823.0,3f98wYIWsN0,Case Study: Identifying and Mitigating Unintended Demographic Bias in Machine Learning for NLP,959.0,783.0,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020
Instructor: Audace Nakeshimana
View the complete course: https://ocw.mit.edu/RES-EC-001S20
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX

This video explores a case study on bias in natural language processing and demonstrates techniques to mitigate word embedding bias.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.","['NLP', 'natural language processing', 'demographic bias', 'word embedding', 'machine learning']",
0,PLUl4u3cNGP60bTiL2hg0h_akgz8ywXkCX,"How We Teach: MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015",UCEBb1b_L6zDS3xTUrIALZOw,12.0,34478.0,Zm8uMV5aMdw,Meet the Educator,10188.0,66.0,"MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015
View the complete course: http://ocw.mit.edu/5-95JF15
Instructor: Janet Rankin

In this video, Janet Rankin shares her role at MIT and how she became interested in pedagogical theory and practice.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['MIT Teaching and Learning Lab', 'science', 'engineering', 'research-based best practices', 'Janet Rankin']",
1,PLUl4u3cNGP60bTiL2hg0h_akgz8ywXkCX,"How We Teach: MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015",UCEBb1b_L6zDS3xTUrIALZOw,12.0,34478.0,zoa2pKYp_fk,Active Learning Overview,46259.0,300.0,"MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015
View the complete course: http://ocw.mit.edu/5-95JF15
Instructor: Janet Rankin

In this video, Janet Rankin describes active learning and how she introduces this concept to students who may not have had active learning experiences prior to taking the course.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['active learning', 'minds on', 'hands on', 'interactive learning']",
2,PLUl4u3cNGP60bTiL2hg0h_akgz8ywXkCX,"How We Teach: MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015",UCEBb1b_L6zDS3xTUrIALZOw,12.0,34478.0,L-Sv1oL43ew,Beach Ball,9021.0,186.0,"MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015
View the complete course: http://ocw.mit.edu/5-95JF15
Instructor: Janet Rankin

In this video, Janet Rankin discusses how using the beach ball strategy, in combination with meaningful questions, encourages students to actively participate in classroom discussions.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['active learning', 'beach ball', 'questions', 'discussion']",
3,PLUl4u3cNGP60bTiL2hg0h_akgz8ywXkCX,"How We Teach: MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015",UCEBb1b_L6zDS3xTUrIALZOw,12.0,34478.0,I1IeF7D7kkY,Debate,6292.0,135.0,"MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015
View the complete course: http://ocw.mit.edu/5-95JF15
Instructor: Janet Rankin

In this video, Janet Rankin describes using debates to engage students in active learning and shares advice with educators using this strategy with students for the first time.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['active learning', 'debate']",
4,PLUl4u3cNGP60bTiL2hg0h_akgz8ywXkCX,"How We Teach: MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015",UCEBb1b_L6zDS3xTUrIALZOw,12.0,34478.0,Nrylh_-40ng,Jigsaw,8266.0,318.0,"MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015
View the complete course: http://ocw.mit.edu/5-95JF15
Instructor: Janet Rankin

In this video, Janet Rankin describes the jigsaw active learning strategy.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['active learning', 'jigsaw']",
5,PLUl4u3cNGP60bTiL2hg0h_akgz8ywXkCX,"How We Teach: MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015",UCEBb1b_L6zDS3xTUrIALZOw,12.0,34478.0,I7_PfCBBcFI,Lightning Round,5001.0,276.0,"MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015
View the complete course: http://ocw.mit.edu/5-95JF15
Instructor: Janet Rankin

In this video, Janet Rankin describes using the lightning round strategy to help students engage with others and articulate arguments informed by multiple perspectives.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['active learning', 'lightning round', 'discussion', 'participation', 'engagement']",
6,PLUl4u3cNGP60bTiL2hg0h_akgz8ywXkCX,"How We Teach: MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015",UCEBb1b_L6zDS3xTUrIALZOw,12.0,34478.0,n9uDbwgnSp0,Mud Cards,5635.0,209.0,"MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015
View the complete course: http://ocw.mit.edu/5-95JF15
Instructor: Janet Rankin

In this video, Janet Rankin describes how she uses mud cards as an active learning strategy. She also offers advice to educators who are considering using this strategy in their own classrooms.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['active learning', 'mud cards']",
7,PLUl4u3cNGP60bTiL2hg0h_akgz8ywXkCX,"How We Teach: MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015",UCEBb1b_L6zDS3xTUrIALZOw,12.0,34478.0,hpM-siY2Bl0,Personal Response Systems,4145.0,566.0,"MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015
View the complete course: http://ocw.mit.edu/5-95JF15
Instructor: Janet Rankin

In this video, Janet Rankin describes several different personal response systems and shares advice with educators who are considering using them in their classrooms.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['active learning', 'personal response systems', 'clickers', 'Socrative', 'plickers']",
8,PLUl4u3cNGP60bTiL2hg0h_akgz8ywXkCX,"How We Teach: MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015",UCEBb1b_L6zDS3xTUrIALZOw,12.0,34478.0,fqrOxeL-fwk,Think-Pair-Share,13602.0,189.0,"MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015
View the complete course: http://ocw.mit.edu/5-95JF15
Instructor: Janet Rankin

In this video, Janet Rankin describes the think-pair-share active learning strategy.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['active learning', 'think-pair-share']",
9,PLUl4u3cNGP60bTiL2hg0h_akgz8ywXkCX,"How We Teach: MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015",UCEBb1b_L6zDS3xTUrIALZOw,12.0,34478.0,aGuZTE8-lOQ,Class Session 3: Designing a Course: Developing Learning Outcomes,87598.0,4604.0,"MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015
View the complete course: http://ocw.mit.edu/5-95JF15
Instructor: Janet Rankin

This class explores how educators create measurable learning outcomes for college-level students.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['constructive alignment', 'backward design model', 'learning outcomes', '4C/ID framework', 'teaching', 'education']",
10,PLUl4u3cNGP60bTiL2hg0h_akgz8ywXkCX,"How We Teach: MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015",UCEBb1b_L6zDS3xTUrIALZOw,12.0,34478.0,hGBNi4P9OfA,"Class Session 5: Teaching Methodologies, Part II: Active Learning: Why and How",92125.0,5255.0,"MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015
View the complete course: http://ocw.mit.edu/5-95JF15
Instructor: Janet Rankin

This class explores the value and impact of active learning techniques in the classroom.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['active learning', 'education', 'teaching', 'learning outcomes', 'interactive engagement', 'flipped classroom']",
11,PLUl4u3cNGP60bTiL2hg0h_akgz8ywXkCX,"How We Teach: MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015",UCEBb1b_L6zDS3xTUrIALZOw,12.0,34478.0,rqI_0FNAeS0,Class Session 8: Teaching with Educational Technology,53510.0,4030.0,"MIT 5.95J Teaching College-Level Science and Engineering, Fall 2015
View the complete course: http://ocw.mit.edu/5-95JF15
Instructor: Janet Rankin

This class discusses the pros and cons of using educational technology in the classroom, as well as how to implement ed tech in a classroom setting.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['educational technology', 'ed tech', 'learning outcomes', 'active learning', 'behaviorism', 'congnitivism', 'constructivism']",
0,PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0,"MIT 18.650 Statistics for Applications, Fall 2016",UCEBb1b_L6zDS3xTUrIALZOw,22.0,641240.0,VPZD_aij8H0,1. Introduction to Statistics,1546726.0,4682.0,"*NOTE:  This video was recorded in Fall 2017. The rest of the lectures were recorded in Fall 2016, but video of Lecture 1 was not available.

MIT 18.650 Statistics for Applications, Fall 2016
View the complete course: https://ocw.mit.edu/18-650F16
Instructor: Philippe Rigollet

In this lecture, Prof. Rigollet talked about the importance of the mathematical theory behind statistical methods and built a mathematical model to understand the accuracy of the statistical procedure.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu","['statistics', 'randomness', 'probability', 'mathematical modeling', 'approximation', 'estimator']",
1,PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0,"MIT 18.650 Statistics for Applications, Fall 2016",UCEBb1b_L6zDS3xTUrIALZOw,22.0,641240.0,C_W1adH-NVE,2. Introduction to Statistics (cont.),166279.0,4629.0,"MIT 18.650 Statistics for Applications, Fall 2016
View the complete course: http://ocw.mit.edu/18-650F16
Instructor: Philippe Rigollet

This lecture is the second part of the introduction to the mathematical theory behind statistical methods.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['convergence in probability', 'convergence in distribution', 'mutual independence', 'exponential distribution', 'Delta method', 'Slutsky’s theorem']",
2,PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0,"MIT 18.650 Statistics for Applications, Fall 2016",UCEBb1b_L6zDS3xTUrIALZOw,22.0,641240.0,TSkDZbGS94k,3. Parametric Inference,80915.0,4957.0,"MIT 18.650 Statistics for Applications, Fall 2016
View the complete course: http://ocw.mit.edu/18-650F16
Instructor: Philippe Rigollet

In this lecture, Prof. Rigollet talked about statistical modeling and the rationale behind statistical modeling.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['Bernoulli distribution', 'parametric inference', 'statistical experiment', 'statistical model', 'measurable function']",
3,PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0,"MIT 18.650 Statistics for Applications, Fall 2016",UCEBb1b_L6zDS3xTUrIALZOw,22.0,641240.0,rLlZpnT02ZU,4. Parametric Inference (cont.) and Maximum Likelihood Estimation,53220.0,4676.0,"MIT 18.650 Statistics for Applications, Fall 2016
View the complete course: http://ocw.mit.edu/18-650F16
Instructor: Philippe Rigollet

In this lecture, Prof. Rigollet talked about confidence intervals, total variation distance, and Kullback-Leibler divergence.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['confidence interval', 'Slutsky’s theorem', 'total variation distance', 'probability distribution', 'Kullback-Leibler divergence']",
